timestamp,symbol,signal,action,signal_strength,confidence,price,position_size,trade_value,commission,margin_used,leverage,capital_after,available_margin,profit_loss,trade_return_pct,capital_before,mfe,mae,exit_reason
22:00 2024/03/24,BTCUSDT,TREND_REVERSAL,SELL,,,65655.017085,-0.4216681247889278,27684.627937216967,2.768462793721697,5512.838463315467,,42519.98210898874,,116.28894823007592,2.10942056444982,42403.69316075867,0.008935408996927418,0.0008087243681091319,TREND_REVERSAL
01:00 2024/03/25,BTCUSDT,BUY,BUY,0.75,0.6000000000000001,65354.4,0.4698823027616041,30710.41141140136,3.071041141140136,6141.775193520596,5.0,42516.9110678476,3858.224806479404,,,,,,
02:00 2024/03/25,BTCUSDT,TREND_REVERSAL,SELL,,,65876.706,-0.4698823027616041,30954.298313629184,3.0954298313629187,6141.775193520596,,42757.702540244056,,240.79147239646025,3.920551710366876,42516.9110678476,0.012067937971394754,0.00019229143937399935,TREND_REVERSAL
03:00 2024/03/25,BTCUSDT,WEAK_BUY,BUY,0.2,0.2,65868.1,0.42194182997776825,27793.8962764912,2.77938962764912,5558.5013302317275,5.0,42754.92315061641,4441.4986697682725,,,,,,
07:00 2024/03/25,BTCUSDT,TREND_REVERSAL,SELL,,,67244.73759500001,-0.42194182997776825,28373.367637209136,2.8373367637209137,5558.5013302317275,,43331.557174570626,,576.6340239542155,10.373911773988482,42754.92315061641,0.02774203642185718,0.001741171684267223,TREND_REVERSAL
09:00 2024/03/25,BTCUSDT,BUY,BUY,0.5,0.4,66573.2,0.42307583477241456,28166.920439079087,2.816692043907909,5633.1024326941815,5.0,43328.740482526715,4366.8975673058185,,,,,,
12:00 2024/03/25,BTCUSDT,TREND_REVERSAL,SELL,,,67516.624,-0.42307583477241456,28564.65205981524,2.856465205981524,5633.1024326941815,,43723.61563805689,,394.8751555301694,7.009905469468089,43328.740482526715,0.014896711498204927,0.003034532801067956,TREND_REVERSAL
19:00 2024/03/25,BTCUSDT,BUY,BUY,0.55,0.45000000000000007,66841.3,0.42519146343259295,28421.771182245215,2.8421771182245217,5684.070032947396,5.0,43720.77346093866,4315.929967052604,,,,,,
02:00 2024/03/26,BTCUSDT,TREND_REVERSAL,SELL,,,70904.55459500001,-0.42519146343259295,30148.011332284237,3.0148011332284237,5684.070032947396,,45443.99880984445,,1723.225348905794,30.31675083025392,43720.77346093866,0.0616123866890512,0.0007531204213952037,TREND_REVERSAL
08:00 2024/03/26,BTCUSDT,WEAK_BUY,BUY,0.25,0.25,69941.0,0.4223359578272958,29540.07615636022,2.9540076156360224,5907.719845279779,5.0,45441.04480222882,4092.2801547202207,,,,,,
